,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,image,url
509,510,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4,https://p.scdn.co/mp3-preview/49653dbbec996f228cb6edc046d318cd5a249ee6?cid=4730b02bd7f84c22bb7993aaa4620292
510,511,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,https://p.scdn.co/mp3-preview/0fe3542d88da43dd131627df756ac1ce318713fd?cid=4730b02bd7f84c22bb7993aaa4620292
511,512,New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,https://p.scdn.co/mp3-preview/e4f2ca20fc8aea1eb592d613d7a4b4da6012eaa2?cid=4730b02bd7f84c22bb7993aaa4620292
512,513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,https://p.scdn.co/mp3-preview/244258563b6cd50aa2f13edf25a1bb2eee2bdd21?cid=4730b02bd7f84c22bb7993aaa4620292
513,514,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,https://p.scdn.co/mp3-preview/e5b04ad7398a7c8f5c4c788f4ab43f3f4cef150a?cid=4730b02bd7f84c22bb7993aaa4620292
514,515,IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=4730b02bd7f84c22bb7993aaa4620292
515,516,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83,https://i.scdn.co/image/ab67616d0000b273269423eb6467e308c0fbce24,https://p.scdn.co/mp3-preview/c91ecf112c2a68516ef8bb91068ce4cd2a437052?cid=4730b02bd7f84c22bb7993aaa4620292
516,517,Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83,https://i.scdn.co/image/ab67616d0000b273307910d4242c0d6b1fedf955,https://p.scdn.co/mp3-preview/1214f7d55f077ad0cdd3bfe153a6741afefa2cb1?cid=4730b02bd7f84c22bb7993aaa4620292
517,518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83,https://i.scdn.co/image/ab67616d0000b2730e46960707a051199917b50e,https://p.scdn.co/mp3-preview/c295344bbe49c268b90c49e49ee8d49a672aa5bc?cid=4730b02bd7f84c22bb7993aaa4620292
518,519,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,https://p.scdn.co/mp3-preview/7794e6d9c9f2b8ce10cc7e2564b75e2ca2877f2d?cid=4730b02bd7f84c22bb7993aaa4620292
